"clorofila_a","floracion_algal"
0.656478592066773,"Ausencia"
2.62177555365331,"Ausencia"
2.80087466488263,"Ausencia"
0.611107587877414,"Ausencia"
1.28564314111871,"Ausencia"
1.67593894746391,"Ausencia"
2.69064299559493,"Ausencia"
2.25054790132464,"Ausencia"
3.00735227087984,"Ausencia"
2.57323468440273,"Presencia"
1.08418948114274,"Ausencia"
3.31109744840077,"Presencia"
2.98872631446584,"Presencia"
3.6539286858357,"Presencia"
0.559194766655892,"Ausencia"
3.94735643420391,"Ausencia"
3.73693617687277,"Ausencia"
2.38748332557799,"Ausencia"
4.28003397208696,"Presencia"
3.53788331202199,"Presencia"
1.52539619191989,"Ausencia"
0.282691198170088,"Ausencia"
0.573169690419573,"Ausencia"
2.20823591979386,"Ausencia"
1.96416382166945,"Ausencia"
3.13428456460743,"Ausencia"
1.53714503058929,"Ausencia"
1.67161596946798,"Ausencia"
3.48453947565047,"Presencia"
0.910622096142232,"Ausencia"
1.47120578681381,"Ausencia"
1.40620714664282,"Ausencia"
0.00108434870690877,"Presencia"
2.29615312735675,"Presencia"
2.17062525208524,"Ausencia"
3.81565231920786,"Ausencia"
1.3393968953731,"Ausencia"
1.85974805867734,"Ausencia"
1.57602089284354,"Ausencia"
1.96126422507698,"Ausencia"
1.97105807993055,"Ausencia"
2.39303737666237,"Ausencia"
1.75038607917413,"Ausencia"
2.08345021373635,"Ausencia"
4.07887461355327,"Presencia"
2.12085180295443,"Ausencia"
2.11814944041582,"Ausencia"
2.77005421782597,"Ausencia"
0.824597598294746,"Ausencia"
2.40903855967101,"Ausencia"
1.33504916648278,"Ausencia"
1.7434752355819,"Presencia"
2.67878214800261,"Ausencia"
2.89684464033434,"Ausencia"
2.61835643157867,"Ausencia"
2.73145374542406,"Presencia"
1.58682542581673,"Ausencia"
3.55781312979418,"Presencia"
2.54169881759825,"Presencia"
2.57715046665011,"Ausencia"
-0.254709572243348,"Ausencia"
1.01793993782387,"Ausencia"
1.79943201193542,"Ausencia"
2.89593019119979,"Ausencia"
1.95645509274579,"Ausencia"
3.64730794757372,"Presencia"
3.56329942646606,"Ausencia"
0.56862165376814,"Ausencia"
1.45540579776189,"Presencia"
1.22874647647678,"Ausencia"
1.83001200553314,"Ausencia"
1.95923810491247,"Ausencia"
0.279459727868933,"Ausencia"
3.44410625560318,"Ausencia"
1.97998533701065,"Presencia"
8.81069622627177,"Presencia"
7.66119844334217,"Presencia"
5.4353365811639,"Presencia"
4.89877673030742,"Presencia"
8.6660798715493,"Presencia"
4.76155409302688,"Ausencia"
6.67587830355879,"Ausencia"
14.0619043641849,"Presencia"
8.2185694647082,"Presencia"
10.1264519218383,"Presencia"
10.5515282130873,"Presencia"
3.54140861270076,"Presencia"
10.7615894002193,"Presencia"
8.44498640692148,"Presencia"
7.2893966100216,"Presencia"
6.58029142152847,"Ausencia"
5.99238168862718,"Presencia"
12.0755800596786,"Presencia"
12.2387540512552,"Presencia"
5.80167869466105,"Presencia"
7.75834424971672,"Presencia"
10.4305904656506,"Presencia"
9.50776259613127,"Presencia"
11.3720679188518,"Presencia"
7.48616063074461,"Presencia"
8.3544540020069,"Presencia"
10.6097078694205,"Presencia"
7.72419138364473,"Ausencia"
8.20669636397616,"Presencia"
2.9527197390722,"Ausencia"
11.3508666386,"Presencia"
3.94592727907997,"Ausencia"
6.3885004464512,"Ausencia"
6.8896591686432,"Presencia"
9.0620366730434,"Presencia"
5.57052414554524,"Presencia"
7.46082611302664,"Presencia"
4.55702106109427,"Ausencia"
8.28872714964007,"Presencia"
10.4441003093324,"Presencia"
10.9488222063297,"Presencia"
10.5525304447915,"Presencia"
11.6220423413209,"Presencia"
3.69866495387743,"Presencia"
4.69716295851596,"Ausencia"
7.16887334588486,"Ausencia"
6.07591018939579,"Presencia"
10.5706243362194,"Presencia"
8.94153036226708,"Ausencia"
11.6673862358188,"Presencia"
4.62101740063004,"Ausencia"
8.70889223509779,"Presencia"
4.18289133277114,"Ausencia"
8.94704805979636,"Presencia"
9.06683115087667,"Presencia"
8.01215641462029,"Ausencia"
11.4475834582205,"Presencia"
6.51015699606041,"Ausencia"
5.75961043894318,"Presencia"
4.15169829272743,"Presencia"
4.90468498195779,"Presencia"
1.78385988776879,"Ausencia"
6.72179851567393,"Presencia"
5.66907310231847,"Ausencia"
7.45456340712811,"Presencia"
5.41307782699428,"Presencia"
7.45237423348511,"Presencia"
12.112086428057,"Presencia"
12.0281568687597,"Presencia"
4.54471381865127,"Ausencia"
10.2462939763992,"Presencia"
12.5664438688664,"Presencia"
3.6409403776341,"Presencia"
11.6322738115735,"Presencia"
5.27196304875023,"Ausencia"
